category_name,total_products,bestseller_count,bestseller_percentage,bestseller_avg_rating,regular_avg_rating,bestseller_avg_price,regular_avg_price
Tools & Home Improvement,1678,240,14.3,4.53,4.53,28.58,27.81
Sports & Outdoors,2625,256,9.8,4.54,4.52,34.14,28.67
Industrial & Scientific,4403,399,9.1,4.57,4.56,20.16,19.91
Health & Household,714,54,7.6,4.5,4.57,18.4,15.27
Sports & Fitness,6604,483,7.3,4.5,4.46,26.23,26.93
Smart Home: Other Solutions,125,9,7.2,4.54,4.4,232.15,104.62
Kitchen & Dining,4850,279,5.8,4.59,4.56,29.43,26.37
Automotive Replacement Parts,8212,363,4.4,4.53,4.51,26.34,23.9
Outdoor Recreation,3518,149,4.2,4.51,4.47,29.43,29.0
Electronic Components,1726,61,3.5,4.55,4.55,17.83,18.65
Accessories & Supplies,4116,124,3.0,4.53,4.48,30.35,40.97
Personal Care Products,1252,38,3.0,4.51,4.48,15.17,19.53
Home Use Medical Supplies & Equipment,2717,80,2.9,4.46,4.39,35.87,28.71
Household Supplies,1898,51,2.7,4.64,4.57,16.1,16.89
Automotive Tools & Equipment,8030,147,1.8,4.49,4.46,44.09,49.66
Kids' Home Store,1829,33,1.8,4.56,4.55,33.52,30.01
Home Décor Products,8057,132,1.6,4.51,4.48,19.78,20.12
Hardware,4354,70,1.6,4.56,4.47,24.44,24.8
Lab & Scientific Products,7106,116,1.6,4.45,4.38,22.2,30.8
Video Games,4983,82,1.6,4.57,4.45,43.51,55.0
