product_id,title,category_name,stars,reviews,price,boughtInLastMonth,isBestSeller,performance_score
B0BYN1VDXW,Yaomiao 2 Pcs 15 x 15 Inches Black Heat Press Platen Wrap Cover Non Stick Heat Resistant Heat Press Cover for Protecting Heat Press Machine from Adhesives Residue Scratches Inks,Printmaking Supplies,1.4,10,18.99,0,false,3.36
B0BY18K621,ZXASD Cushion Plush Sofa Backrest Armchair 2 in 1 Foldable Sofa Cute Cartoon Lazy Sofa Flip Open Sofa Without Inner PP Cotton,Kids' Furniture,1.2,17,15.17,0,false,3.47
B0C4JZ3JPG,"Zelbuck Foot Massager for The Relief of Plantar Fasciitis - Foot Pain Relief Massage, Neuropathy, Improved Circulation, USB Rechargeable Model, LCD Screen with Multiple Modes and intensities.",Wellness & Relaxation Products,1.8,11,21.99,400,false,4.47
B0CBCLSTLP,"Detoxify Ready Clean Detox Drink, Herbal Precleanse Pills, 6 Panel Test, Detox and Quick Flush of Your Body-Fast Professional Formulated 1 HR Cleanse",Diet & Sports Nutrition,1.8,12,29.99,500,false,4.62
B0BDSPSF5D,"Replacement Color Printhead for Epson XP600 XP601 XP510 XP610 XP620 XP630 XP625 Printer, Components Print Head Replacement",Office Electronics,1.6,17,114.72,0,false,4.62
B0BVMF1BNR,"Toilet Butler Statue,Butler Toilet Paper Holder Statue for Bathroom Pinching Nose Resin Ornament Tissue Storage Rack Home Accessories (20x7x5cm)",Hardware,1.9,11,12.39,0,false,4.72
B0BNGJFWYF,"Dreamxue Mini Finger Basketball Shooting Game, Mini Handheld Desktop Table Basketball Game Toy for Children Kids Development Educational for Reduce Stress Killing Time Basketball Games Game Time",Sports & Outdoor Play Toys,1.9,12,6.99,0,false,4.87
B0982XGNMZ,"AMAFACE Pink Wireless Earbuds, Sport Bluetooth Earbuds with Microphone - Touch Control, Single/Twin Mode, Noice Cancelling for Kids Adult Small Ears(with 3 Ear Tips)",Headphones & Earbuds,2.0,11,12.99,0,false,4.97
B09TSK1VVS,"Printhead (PF-06) Compatible with Canon TA-20/TA-30/TA-5200/TA-5300/TM-200/TM-205/TM-300/TM-305/TM-5200/TM-5205/TM-5300/TM-5305/TX-2000/TX-3000/TX-4000/TX-5200/TX-5300/TX-5400,Print Head Replacement",Office Electronics,1.9,13,299.99,0,false,5.01
B07QDB1DBM,"60W Vintage Edison Radio Tube Clear Glass Dimmable Incandescent Light Bulb, E26 Base, 220 Lumens,83004",Light Bulbs,1.9,14,9.91,0,false,5.15
