,skill,frequency
0,sql,24353
1,excel,15748
2,python,14330
3,power_bi,13452
4,tableau,13108
5,,9578
6,r,8782
7,sas,4219
8,powerpoint,3573
9,word,3460
10,azure,3053
11,aws,2844
12,snowflake,2833
13,spark,2390
14,looker,2107
15,go,1846
16,sap,1815
17,spreadsheet,1755
18,scala,1634
19,spss,1498
20,jira,1489
21,c,1312
22,alteryx,1300
23,java,1267
24,outlook,1168
25,hadoop,1167
26,nosql,1124
27,sharepoint,1116
28,vba,1096
29,javascript,1009
30,gcp,991
31,qlik,954
32,bigquery,920
33,microstrategy,861
34,redshift,853
35,ssis,836
36,ssrs,826
37,pandas,732
38,mysql,729
39,git,657
40,dax,650
41,visio,591
42,matplotlib,557
43,cognos,556
44,pyspark,485
45,numpy,484
46,airflow,477
47,matlab,473
48,t-sql,473
49,tensorflow,473
50,postgresql,463
51,pl/sql,461
52,github,412
53,c++,410
54,html,405
55,linux,386
56,crystal,385
57,scikit-learn,337
58,docker,332
59,postgres,322
60,pytorch,302
61,unix,290
62,shell,280
63,jupyter,263
64,powershell,252
65,visual_basic,236
66,mongodb,214
67,splunk,195
68,css,191
69,swift,153
70,gdpr,150
71,mssql,145
72,plotly,144
73,perl,129
74,seaborn,128
75,assembly,124
76,keras,120
77,bash,115
78,gitlab,107
79,php,99
80,atlassian,95
81,ruby,94
82,terminal,90
83,aurora,77
84,ggplot2,74
85,selenium,63
86,bitbucket,60
87,unix/linux,59
88,no-sql,55
89,mongo,54
90,jquery,51
91,js,49
92,c/c++,47
93,linux/unix,44
94,julia,43
95,rshiny,42
96,node.js,39
97,cobol,38
98,typescript,36
99,asp.net,36
100,nltk,29
101,redis,27
102,node,25
103,golang,25
104,nuix,24
105,groovy,24
106,dplyr,23
107,graphql,23
108,vb.net,22
109,rust,22
110,vue,21
111,twilio,19
112,datarobot,16
113,mxnet,15
114,solidity,15
115,dart,13
116,apl,12
117,powerpoints,11
118,fortran,10
119,theano,7
120,clojure,7
121,elixir,7
122,mlr,4
123,erlang,3
124,kotlin,3
125,objective-c,3
126,haskell,2
127,vue.js,2
128,javascript/typescript,2
129,sass,1
130,delphi,1
131,tidyr,1
132,mlpack,1
