category_name,product_count,avg_sales_per_product,avg_rating,avg_price,total_sales,efficiency_tier,saturation_level
Health & Household,711,8494.1,4.57,15.51,6039300.0,Super Efficient,Low Saturation
Personal Care Products,1242,3177.5,4.49,18.72,3946500.0,Super Efficient,Low Saturation
Household Supplies,1762,2408.3,4.57,16.98,4243400.0,Super Efficient,Low Saturation
Kitchen & Dining,4812,2158.7,4.56,26.59,10387600.0,Super Efficient,Moderate Saturation
Tools & Home Improvement,1015,2088.8,4.55,28.75,2120100.0,Super Efficient,Low Saturation
Baby Diapering Products,360,1913.2,4.49,21.22,688750.0,High Efficiency,Low Saturation
Industrial & Scientific,3864,1826.4,4.57,18.92,7057250.0,High Efficiency,Low Saturation
Health Care Products,2437,1518.5,4.43,18.88,3700600.0,High Efficiency,Low Saturation
Sports & Outdoors,2568,1145.9,4.52,28.88,2942550.0,High Efficiency,Low Saturation
Accessories & Supplies,645,1043.4,4.48,60.11,673000.0,High Efficiency,Low Saturation
Diet & Sports Nutrition,2184,1032.3,4.35,27.68,2254550.0,High Efficiency,Low Saturation
Oral Care Products,3646,967.1,4.42,18.77,3525900.0,Moderate Efficiency,Low Saturation
Household Cleaning Supplies,7049,961.6,4.41,19.3,6778050.0,Moderate Efficiency,Moderate Saturation
Hair Care Products,8494,931.9,4.43,21.19,7915350.0,Moderate Efficiency,High Saturation
Sports Nutrition Products,3267,925.2,4.36,33.46,3022700.0,Moderate Efficiency,Low Saturation
Skin Care Products,7717,828.2,4.48,21.26,6391300.0,Moderate Efficiency,Moderate Saturation
Pregnancy & Maternity Products,413,787.0,4.42,31.61,325050.0,Moderate Efficiency,Low Saturation
Baby & Child Care Products,1454,692.9,4.51,18.66,1007500.0,Moderate Efficiency,Low Saturation
Computers,753,690.7,4.5,46.37,520100.0,Moderate Efficiency,Low Saturation
Ironing Products,499,671.8,4.36,41.44,335250.0,Moderate Efficiency,Low Saturation
Shaving & Hair Removal Products,3229,668.7,4.34,24.66,2159200.0,Moderate Efficiency,Low Saturation
Baby Care Products,2103,627.7,4.58,14.79,1320050.0,Moderate Efficiency,Low Saturation
Sports & Fitness,6409,626.3,4.47,25.05,4013700.0,Moderate Efficiency,Moderate Saturation
Cell Phones & Accessories,70,613.6,4.39,43.22,42950.0,Moderate Efficiency,Low Saturation
Home Use Medical Supplies & Equipment,2384,604.8,4.38,29.26,1441800.0,Moderate Efficiency,Low Saturation
Home Storage & Organization,8893,599.7,4.51,34.02,5333200.0,Moderate Efficiency,High Saturation
Dog Supplies,8055,562.8,4.39,24.85,4533350.0,Moderate Efficiency,High Saturation
Toilet Training Products,378,539.2,4.46,21.16,203800.0,Moderate Efficiency,Low Saturation
Makeup,7598,535.3,4.3,14.64,4067250.0,Moderate Efficiency,Moderate Saturation
Home Décor Products,7728,523.1,4.49,19.96,4042800.0,Moderate Efficiency,Moderate Saturation
Baby & Toddler Feeding Supplies,3432,515.1,4.5,25.4,1767850.0,Moderate Efficiency,Low Saturation
Beauty Tools & Accessories,5900,514.6,4.41,15.25,3036300.0,Moderate Efficiency,Moderate Saturation
Perfumes & Fragrances,217,502.3,4.02,25.92,109000.0,Moderate Efficiency,Low Saturation
Outdoor Recreation,3378,492.5,4.47,28.12,1663600.0,Low Efficiency,Low Saturation
Vision Products,1298,487.3,4.31,14.99,632550.0,Low Efficiency,Low Saturation
"Heating, Cooling & Air Quality",2988,480.8,4.4,61.61,1436600.0,Low Efficiency,Low Saturation
Toys & Games,12118,472.5,4.51,27.2,5726100.0,Low Efficiency,High Saturation
Child Safety Car Seats & Accessories,796,467.8,4.48,52.27,372400.0,Low Efficiency,Low Saturation
Baby Activity & Entertainment Products,606,444.2,4.49,53.71,269200.0,Low Efficiency,Low Saturation
Baby Safety Products,904,432.5,4.31,29.26,391000.0,Low Efficiency,Low Saturation
Rain Umbrellas,359,427.6,4.38,26.89,153500.0,Low Efficiency,Low Saturation
"Slot Cars, Race Tracks & Accessories",86,426.7,4.42,35.98,36700.0,Low Efficiency,Low Saturation
Wellness & Relaxation Products,4113,422.2,4.37,34.0,1736600.0,Low Efficiency,Moderate Saturation
Sexual Wellness Products,3379,414.7,4.25,25.8,1401250.0,Low Efficiency,Low Saturation
"Foot, Hand & Nail Care Products",8092,414.1,4.35,13.67,3351250.0,Low Efficiency,High Saturation
Janitorial & Sanitation Supplies,2290,413.9,4.4,37.48,947900.0,Low Efficiency,Low Saturation
Home Appliances,5632,407.5,4.5,25.93,2295150.0,Low Efficiency,Moderate Saturation
Car Care,2012,381.1,4.39,23.67,766700.0,Low Efficiency,Low Saturation
Stationery & Gift Wrapping Supplies,327,373.4,4.64,12.9,122100.0,Low Efficiency,Low Saturation
Craft Supplies & Materials,7203,370.0,4.52,16.22,2665050.0,Low Efficiency,Moderate Saturation
Cat Supplies,5040,362.2,4.35,28.1,1825450.0,Low Efficiency,Moderate Saturation
Kitchen & Bath Fixtures,1273,353.5,4.37,43.47,450050.0,Low Efficiency,Low Saturation
Party Supplies,6551,348.4,4.57,14.07,2282300.0,Low Efficiency,Moderate Saturation
Bedding,7765,347.8,4.51,33.2,2700650.0,Low Efficiency,Moderate Saturation
Baby & Toddler Toys,4292,341.4,4.55,19.92,1465200.0,Low Efficiency,Moderate Saturation
Video Games,2392,339.4,4.5,50.38,811750.0,Low Efficiency,Low Saturation
Bath Products,7230,337.7,4.47,22.4,2441500.0,Low Efficiency,Moderate Saturation
Baby Strollers & Accessories,622,337.0,4.47,87.43,209600.0,Low Efficiency,Low Saturation
Electronic Components,892,334.3,4.56,16.98,298200.0,Low Efficiency,Low Saturation
Safety & Security,5345,329.5,4.43,28.9,1761000.0,Low Efficiency,Moderate Saturation
Headphones & Earbuds,103,324.8,4.26,55.72,33450.0,Low Efficiency,Low Saturation
Oils & Fluids,222,318.9,4.62,29.82,70800.0,Low Efficiency,Low Saturation
Portable Audio & Video,529,313.7,4.3,31.5,165950.0,Low Efficiency,Low Saturation
Office Electronics,5453,312.5,4.39,65.85,1704100.0,Low Efficiency,Moderate Saturation
Power Tools & Hand Tools,3267,308.5,4.52,36.97,1007850.0,Low Efficiency,Low Saturation
Food Service Equipment & Supplies,5807,307.9,4.57,21.6,1787900.0,Low Efficiency,Moderate Saturation
Lighting & Ceiling Fans,1043,305.7,4.44,37.24,318850.0,Low Efficiency,Low Saturation
Vacuum Cleaners & Floor Care,2789,294.5,4.43,71.45,821300.0,Low Efficiency,Low Saturation
Baby Travel Gear,676,282.3,4.52,51.03,190850.0,Low Efficiency,Low Saturation
"Nintendo Switch Consoles, Games & Accessories",362,278.6,4.51,36.83,100850.0,Low Efficiency,Low Saturation
Hardware,1044,276.1,4.48,21.56,288200.0,Low Efficiency,Low Saturation
"Painting, Drawing & Art Supplies",7508,275.7,4.54,17.27,2070200.0,Low Efficiency,Moderate Saturation
Kids' Play Tractors,63,274.6,4.54,34.55,17300.0,Low Efficiency,Low Saturation
Fabric Decorating,236,272.5,4.43,14.42,64300.0,Low Efficiency,Low Saturation
Televisions & Video Products,387,269.0,4.42,34.27,104100.0,Low Efficiency,Low Saturation
Electrical Equipment,1547,261.3,4.53,26.74,404300.0,Low Efficiency,Low Saturation
"Nursery Furniture, Bedding & Décor",2871,254.3,4.53,35.04,730100.0,Low Efficiency,Low Saturation
Beauty & Personal Care,788,254.3,4.27,20.68,200400.0,Low Efficiency,Low Saturation
Arts & Crafts Supplies,5300,246.5,4.54,13.67,1306650.0,Low Efficiency,Moderate Saturation
Automotive Tools & Equipment,6798,244.3,4.47,47.8,1660750.0,Low Efficiency,Moderate Saturation
Seasonal Décor,2893,243.9,4.38,27.16,705550.0,Low Efficiency,Low Saturation
Baby Girls' Clothing & Shoes,370,240.1,4.66,18.86,88850.0,Low Efficiency,Low Saturation
Games & Accessories,5987,237.5,4.56,25.42,1421800.0,Low Efficiency,Moderate Saturation
Automotive Tires & Wheels,3025,236.8,4.42,36.91,716200.0,Low Efficiency,Low Saturation
Automotive Replacement Parts,7615,236.6,4.52,23.98,1801350.0,Low Efficiency,Moderate Saturation
Travel Accessories,2893,234.5,4.53,15.97,678300.0,Low Efficiency,Low Saturation
Automotive Paint & Paint Supplies,64,234.4,4.23,33.34,15000.0,Low Efficiency,Low Saturation
Boys' Watches,104,228.8,4.33,15.53,23800.0,Low Efficiency,Low Saturation
Luggage,498,226.5,4.44,93.84,112800.0,Low Efficiency,Low Saturation
Learning & Education Toys,2059,226.2,4.51,23.54,465800.0,Low Efficiency,Low Saturation
Sewing Products,6689,224.3,4.52,15.04,1500650.0,Low Efficiency,Moderate Saturation
Men's Clothing,6070,222.0,4.44,27.74,1347300.0,Low Efficiency,Moderate Saturation
Packaging & Shipping Supplies,926,221.5,4.57,22.36,205150.0,Low Efficiency,Low Saturation
"Arts, Crafts & Sewing Storage",896,219.9,4.54,19.24,197050.0,Low Efficiency,Low Saturation
Automotive Interior Accessories,6399,215.2,4.34,28.22,1376800.0,Low Efficiency,Moderate Saturation
Industrial Power & Hand Tools,5231,214.7,4.52,43.34,1123300.0,Low Efficiency,Moderate Saturation
Kids' Furniture,1002,212.8,4.48,66.87,213200.0,Low Efficiency,Low Saturation
